NodeId,StartDate,EndDate
108,24/03/2016,24/03/2016
156,14/04/2015,30/03/2016
157,14/04/2015,30/03/2016
158,14/04/2015,30/03/2016
159,14/04/2015,30/03/2016
160,14/04/2015,30/03/2016
161,14/04/2015,30/03/2016
162,14/04/2015,30/03/2016
163,14/04/2015,30/03/2016
164,14/04/2015,30/03/2016
247,23/03/2018,23/03/2018
246,23/03/2018,19/03/2021
245,23/03/2018,19/03/2021
244,23/03/2018,19/03/2021
178,27/06/2016,23/12/2016
239,27/02/2017,23/03/2018
241,27/02/2017,22/05/2018
240,27/02/2017,22/05/2018
242,27/02/2017,22/12/2017
136,29/06/2015,24/12/2015
175,3/12/2018,21/12/2018
174,31/10/2016,21/12/2018
173,31/10/2016,21/12/2018
172,31/10/2016,25/11/2016
171,31/10/2016,21/12/2018
113,25/11/2016,25/11/2016
374,25/04/2015,26/08/2016
112,27/04/2015,27/04/2015
114,29/05/2015,29/05/2015
375,30/05/2015,26/08/2016
115,23/12/2016,23/12/2016
378,25/04/2015,25/03/2016
168,31/03/2016,31/03/2016
116,27/04/2015,27/04/2015
177,25/04/2015,26/08/2016
183,30/08/2016,30/08/2016
117,1/4/2015,1/4/2015
376,29/02/2016,24/06/2016
118,30/08/2016,30/08/2016
381,25/04/2015,26/08/2016
137,29/06/2015,24/12/2015
138,29/06/2015,24/12/2015
165,29/06/2015,30/03/2016
166,29/06/2015,30/03/2016
122,2/1/2013,24/12/2013
121,2/1/2014,24/12/2014
127,5/1/2015,29/06/2015
119,4/1/2016,23/12/2016
120,3/1/2017,22/12/2017
151,2/1/2018,29/03/2018
123,2/1/2013,24/12/2013
124,2/1/2014,24/12/2014
129,5/1/2015,29/06/2015
125,4/1/2016,23/12/2016
126,3/1/2017,22/12/2017
147,2/1/2018,29/06/2018
128,29/06/2015,24/12/2015
130,29/06/2015,24/12/2015
131,2/1/2014,24/12/2014
169,5/1/2015,29/06/2015
132,29/06/2015,24/12/2015
133,4/1/2016,23/12/2016
134,3/1/2017,22/12/2017
148,2/1/2018,18/06/2018
135,4/1/2016,23/12/2016
176,3/1/2017,22/12/2017
153,2/1/2018,31/08/2018
139,1/8/2016,31/07/2017
140,1/8/2017,30/07/2018
141,31/07/2018,30/07/2019
142,31/07/2019,29/07/2020
149,30/07/2020,26/10/2020
143,1/8/2016,31/07/2017
144,1/8/2017,30/07/2018
145,31/07/2018,30/07/2019
146,31/07/2019,29/07/2020
150,30/07/2020,26/10/2020
262,1/8/2015,26/08/2016
154,4/7/2016,26/08/2016
152,1/12/2015,24/12/2015
167,24/12/2012,24/12/2012
377,26/10/2020,26/10/2020
170,3/10/2016,25/11/2016
179,27/06/2016,28/10/2016
277,27/06/2016,25/11/2016
278,27/06/2016,23/12/2016
279,27/06/2016,23/12/2016
280,27/06/2016,23/12/2016
265,27/06/2016,27/01/2017
266,27/06/2016,27/01/2017
267,27/06/2016,23/12/2016
268,27/06/2016,23/12/2016
269,27/06/2016,30/11/2016
270,27/06/2016,30/09/2016
271,27/06/2016,27/01/2017
249,27/06/2016,24/02/2017
251,27/06/2016,31/03/2017
253,27/06/2016,31/03/2017
254,27/06/2016,25/11/2016
255,27/06/2016,31/03/2017
256,27/06/2016,24/02/2017
257,27/06/2016,27/01/2017
184,30/08/2016,31/03/2017
185,30/08/2016,28/04/2017
186,1/12/2016,30/06/2017
187,30/08/2016,30/06/2017
188,3/1/2017,30/06/2017
189,3/1/2017,31/05/2017
190,30/08/2016,30/06/2017
191,3/1/2017,31/05/2017
192,30/08/2016,31/07/2017
193,3/1/2017,31/05/2017
195,30/08/2016,20/10/2017
196,30/08/2016,20/10/2017
197,30/08/2016,20/10/2017
198,30/08/2016,30/08/2017
199,30/08/2016,30/08/2017
200,30/08/2016,30/08/2017
201,30/08/2016,1/12/2017
202,30/08/2016,30/06/2017
226,30/08/2016,2/10/2017
227,30/08/2016,28/04/2017
228,30/08/2016,4/9/2017
229,30/08/2016,4/7/2017
203,30/08/2016,21/12/2017
204,30/08/2016,5/3/2018
205,30/08/2016,5/3/2018
206,30/08/2016,31/07/2017
207,30/08/2016,4/7/2017
208,30/08/2016,25/07/2017
209,30/08/2016,30/08/2017
210,30/08/2016,25/07/2017
211,30/08/2016,31/07/2017
212,30/08/2016,31/07/2017
213,30/08/2016,21/12/2017
214,30/08/2016,21/12/2017
380,30/08/2016,21/12/2017
215,30/08/2016,29/01/2018
216,30/08/2016,29/01/2018
217,30/08/2016,24/11/2017
218,30/08/2016,29/01/2018
219,30/08/2016,29/01/2018
220,30/08/2016,24/11/2017
221,30/08/2016,28/07/2017
222,30/08/2016,25/08/2017
223,30/08/2016,29/01/2018
224,30/08/2016,24/11/2017
225,30/08/2016,22/12/2017
231,27/11/2017,21/12/2018
232,27/11/2017,21/12/2018
233,27/11/2017,21/12/2018
234,27/11/2017,21/12/2018
235,27/11/2017,21/12/2018
236,27/11/2017,21/12/2018
258,27/06/2016,27/01/2017
182,27/06/2016,23/12/2016
180,27/06/2016,30/09/2016
181,27/06/2016,30/09/2016
272,27/06/2016,30/11/2016
250,27/06/2016,31/03/2017
252,27/06/2016,23/12/2016
194,30/08/2016,6/3/2017
155,14/04/2015,14/04/2015
259,1/8/2016,3/5/2017
260,1/8/2016,25/11/2016
237,3/12/2018,21/12/2018
273,27/06/2016,30/11/2016
274,27/06/2016,30/11/2016
261,27/06/2016,28/10/2016
379,31/01/2017,31/01/2017
382,5/3/2018,5/3/2018
230,27/11/2017,27/11/2017
383,21/12/2018,21/12/2018
238,27/02/2017,27/02/2017
384,22/05/2018,22/05/2018
243,23/03/2018,23/03/2018
385,19/03/2021,19/03/2021
275,1/12/2016,31/01/2017
248,31/07/2015,31/07/2015
386,3/5/2017,3/5/2017
263,27/06/2016,27/06/2016
264,27/08/2016,5/9/2016
387,26/08/2016,26/08/2016
276,27/06/2016,27/06/2016
388,26/08/2016,26/08/2016
281,27/08/2016,5/9/2016
